Sequence,Phase,Start,Item,Piece,Bangs,Duration (sec),Description,Comment
64,Main Show,22:32,SPUTNIK 4/1,3/4,24,20,24 Shot - AF-Colorful mines & silver crackling tails to crackling willows w/strobing stars Pyro Planet,Grand
65,Main Show,22:32,THE BEST THING EVER 4/1,3/4,9,28,9 Shot - SF-Gold palms to crackling with multi color strobes Shogun,Great
66,Main Show,22:33,NISHIKI MINE 4/1,3/4,56,46,56 Shot - SF-Nishiki willow mines to Nishiki willows with crackling Raccoon,Great
67,Main Show,22:33,HOLY MOLY 4/1,3/4,9,26,9 Shot - SF-Whistling and crackling tails to color peonies and willows Firehawk,Great
68,Main Show,22:34,WARHEAD 4/1,4/4,24,22,24 Shot - AF-Brocade mines to multi color breaks with glitter and crackling AFW,Great
69,Main Show,22:34,THE GREAT GOBLIN 4/1,3/4,12,20,"12 Shot - AF-Color and strobe mines to red, blue and green breaks with strobe Shogun",Great
70,Main Show,22:34,DEPTH CHARGE 3/1,2/3,16,40,16 Shot - SF-Gold palm to white strobe and crackling AFW,Grand
71,Main Show,22:35,REALLY LOOKS GOOD 4/1,3/4,25,26,"25 Shot - AF-Blue tails, crackling mines to color breaks and crackling Shogun",Grand
72,Main Show,22:36,HOTSY TOTSY 8/1,5/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
73,Main Show,22:36,COMMANDER IN CHIEF 4/4/6,(11-15)/96,5,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
74,Main Show,22:36,HOTSY TOTSY 8/1,6/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
75,Main Show,22:36,MARDI GRAS PARADE 4/1,3/4,30,23,30 Shot - SF-Crackling mines to crackling with multi color dahlias AFW,Grand
76,Main Show,22:37,ROCKET SCIENCE 4/1,3/4,16,37,"16 Shot - SF-Glittering tails to brocade, color glitter and crackling AFW",
77,Main Show,22:37,HYPERDRIVE 1/1,1/1,135,25,135 Shot - AF-Strobe willow comets to multi colors and strobes Pyro Planet,Grand
78,Main Show,22:38,COMMANDER IN CHIEF 4/4/6,(41-43)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
79,Main Show,22:38,DONUT KING 2/1,2/2,10,35,"10 Shot - SF-Thick red, blue, silver and crackling aerial donut rings Shogun",Great
80,Main Show,22:38,PYRO MANIA ASSORTMENT PACK 3/1,2/3,23,40,"1 ea. - Brocade Mania, Strobing Mania and Spider Mania Shogun",Grand
81,Main Show,22:39,RUST BUCKET 4/1,3/4,182,21,182 Shot - AF-Crackling and strobe mines to neon color stars and crackling Shogun,Grand
82,Main Show,22:39,FLIPPING AWESOME 4/1,4/4,12,32,"12 Shot - SF-Brocade, white glitter, silver wave and crackling chrysanthemum Firehawk",Grand
83,Main Show,22:40,WRATH 4/1,4/4,36,25,"36 Shot - AF-Gold and blue mines to brocade, red and blue glitter, crackle Firehawk",Grand
84,Main Show,22:40,ROUTE 66 SPECTACLE 2/1,2/2,66,120,1 ea. - Mother Road Mirage and Main Street Marvel Raccoon,Grand
85,Main Show,22:42,AMERICAN FIREWORKS ASST 3/1,American Hero,16,35,"SF - 500g - 1 ea. - American Patriot, American Hero and American Glory Shogun",Great
86,Main Show,22:43,RED HOT PEPPERS 2/1,2/2,53,24,53 Shot - AF-Red strobe comets with 4 shots of red strobes to a willow finale Shogun,Grand
87,Main Show,22:43,AMERICAN FIREWORKS ASST 3/1,American Glory,16,35,"SF - 500g - 1 ea. - American Patriot, American Hero and American Glory Shogun",Great
88,Main Show,22:44,LIMITLESS 2/1,2/2,115,41,"115 Shot - AF-Color and crackling comets, mines, breaks and whistling Shogun",Grand
89,Main Show,22:44,THE GREAT GOBLIN 4/1,4/4,12,20,"12 Shot - AF-Color and strobe mines to red, blue and green breaks with strobe Shogun",Great
90,Main Show,22:45,NISHIKI MINE 4/1,4/4,56,46,56 Shot - SF-Nishiki willow mines to Nishiki willows with crackling Raccoon,Great
91,Main Show,22:46,HOTSY TOTSY 8/1,7/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
92,Main Show,22:46,HOTSY TOTSY 8/1,8/8,15,20,"15 Shot - SF-Color coconut, brocade, glitter, swinging stars and crackle Firehawk",Great
93,Main Show,22:46,RUST BUCKET 4/1,4/4,182,21,182 Shot - AF-Crackling and strobe mines to neon color stars and crackling Shogun,Grand
94,Main Show,22:47,COMMANDER IN CHIEF 4/4/6,(44-46)/96,3,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
95,Main Show,22:47,ATOMIC SHOCK WAVE 2/1,2/2,9,34,"9 Shot - SF-Multi color peonies, crowns and willows with color pistils AFW",Great
96,Main Show,22:47,MARDI GRAS PARADE 4/1,4/4,30,23,30 Shot - SF-Crackling mines to crackling with multi color dahlias AFW,Grand
97,Main Show,22:48,DEPTH CHARGE 3/1,3/3,16,40,16 Shot - SF-Gold palm to white strobe and crackling AFW,Grand
98,Main Show,22:48,COMMANDER IN CHIEF 4/4/6,(21-24)/96,4,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
99,Main Show,22:48,ROCKET SCIENCE 4/1,4/4,16,37,"16 Shot - SF-Glittering tails to brocade, color glitter and crackling AFW",
100,Main Show,22:49,SPUTNIK 4/1,4/4,24,20,24 Shot - AF-Colorful mines & silver crackling tails to crackling willows w/strobing stars Pyro Planet,Grand
101,Main Show,22:49,HOLY MOLY 4/1,4/4,9,26,9 Shot - SF-Whistling and crackling tails to color peonies and willows Firehawk,Great
102,Main Show,22:50,HIGH TREASON 4/1,4/4,21,21,"21 Shot - AF-Mine to brocade, strobes, spinners, whistle and crackling Shogun",Great
103,Main Show,22:50,ABSOLUTELY AWESOME 2/1,2/2,9,35,9 Shot - SF-Nishiki kamuros with blue and green strobe stars and crackling Shogun,Good
104,Main Show,22:51,PYRO MANIA ASSORTMENT PACK 3/1,3/3,23,40,"1 ea. - Brocade Mania, Strobing Mania and Spider Mania Shogun",Grand
105,Main Show,22:51,MODERN WARFARE 2/1,2/2,12,32,"12 Shot - SF-Multi color palms with strobe, glitter and crackling pistils AFW",Great
106,Main Show,22:52,THE BEST THING EVER 4/1,4/4,9,28,9 Shot - SF-Gold palms to crackling with multi color strobes Shogun,Great
107,Main Show,22:52,HOIST THE COLORS 3/1,3/3,49,64,"AF - 500g - 1 ea. - Red, White and Blue Brothers",Grand
108,Main Show,22:53,NEPTUNE'S FURY 2/1,2/2,10,35,"10 Shot - SF-Willows, brocades, dahlias & chrysanthemum w/glitter & crackling AFW",Great
109,Main Show,22:54,REALLY LOOKS GOOD 4/1,4/4,25,26,"25 Shot - AF-Blue tails, crackling mines to color breaks and crackling Shogun",Grand
110,Main Show,22:54,COMMANDER IN CHIEF 4/4/6,(6-10)/96,5,1,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
111,Finale,22:54,750 SHOT ULTRA SATURN 4/1,All 4 (Parallel),750,37,"750 Shot - SF-Compact version with color, whistling and crackling Shogun",Great
112,Finale,22:55,SOLID GOLD 4/1,All 4 (Parallel),120,25,30 Shot - SF-Gold brocade mines to gold brocades and strobing stars Pyro Planet,Grand
113,Finale,22:55,COMMANDER IN CHIEF 4/4/6,1-50/96,50,25,"96 - 1 3/4"" - 60g shells - 96 total breaks. 2 effects, 2 shells of each effect Firehawk",Grand
